train_loss,valid_loss
1.885635,2.510294
1.419905,2.215788
1.231842,2.121932
1.168709,2.096415
1.134579,2.090670
1.107277,2.085109
1.087945,2.085444
1.072647,2.084142
1.061077,2.086334
1.051277,2.080238
1.043789,2.077324
1.038445,2.085034
1.033122,2.076308
1.030053,2.075901
1.026279,2.073982
1.024404,2.066520
1.020950,2.067231
1.018880,2.064230
1.017885,2.066054
1.016552,2.062219
1.014202,2.061652
1.011133,2.063015
1.011033,2.061893
1.008684,2.059703
1.007615,2.060150
1.004629,2.053632
1.003555,2.048921
1.002058,2.047021
1.000431,2.046082
0.999335,2.064540
0.997108,2.054301
0.997999,2.064170
0.995185,2.052489
0.995557,2.059557
0.993524,2.082361
0.994036,2.054710
0.994388,2.047325
0.993717,2.063294
0.993290,2.066221
0.993442,2.050474
0.992450,2.059094
0.992440,2.054730
0.991967,2.060113
0.992530,2.071205
0.991076,2.051265
0.990550,2.074204
0.991210,2.048340
0.989708,2.046139
0.991220,2.063533
0.990473,2.047088
0.990846,2.051147
0.990529,2.051947
0.990482,2.063452
0.990081,2.051872
0.990103,2.065506
0.990825,2.054497
0.990713,2.058083
0.989258,2.047674
0.989463,2.048023
0.989637,2.052905
0.990033,2.056706
0.990637,2.050522
0.989528,2.049408
0.989809,2.055010
0.988582,2.056666
0.989170,2.058531
0.989296,2.049645
0.988751,2.052076
0.989369,2.049840
0.989099,2.057113
0.988513,2.050467
0.987661,2.048894
0.988351,2.050326
0.989438,2.050380
0.988540,2.050184
0.987990,2.057175
0.988775,2.054310
0.988854,2.057280
0.988989,2.060120
0.988536,2.058846
0.987999,2.059202
0.987904,2.063778
0.987677,2.054575
0.988875,2.058405
0.988789,2.056340
0.988561,2.053768
0.987513,2.055169
0.986808,2.050778
0.987873,2.056030
0.987865,2.054452
0.987660,2.057333
0.988441,2.059175
0.987476,2.056392
0.988115,2.055753
0.987872,2.055320
0.987649,2.053424
0.987429,2.058641
0.988208,2.052938
0.988016,2.051573
0.987845,2.055984
