train_loss,valid_loss
2.668668,2.172842
2.461639,2.075960
2.341480,2.030123
2.260020,2.007885
2.210007,1.998485
2.183410,1.994608
2.163647,1.993024
2.148438,1.991873
2.130719,1.991242
2.114119,1.990762
2.095381,1.990390
2.078901,1.990025
2.061263,1.989785
2.047121,1.989657
2.033907,1.989544
2.011570,1.989762
1.996825,1.989400
1.993278,1.989335
1.989112,1.989191
1.987701,1.989453
1.986816,1.989222
1.984359,1.989480
1.985743,1.989500
1.985230,1.989332
1.986268,1.989328
1.985703,1.989900
1.985582,1.989288
1.985311,1.989562
1.985630,1.989251
1.986664,1.989642
1.985735,1.989485
1.985043,1.989198
1.987205,1.989346
1.985991,1.989464
1.985477,1.989357
1.986118,1.989291
1.985802,1.989292
1.986756,1.989661
1.986244,1.989473
1.985118,1.989500
1.985604,1.989333
1.983498,1.989389
1.984234,1.990094
1.985246,1.989287
1.986371,1.989407
1.985721,1.989340
1.985408,1.989525
1.985367,1.989344
1.984562,1.989432
1.983820,1.989315
1.985760,1.989288
1.986277,1.989188
1.984747,1.989480
1.986262,1.989360
1.984874,1.989376
1.985164,1.989329
1.985064,1.989323
1.985931,1.989288
1.985675,1.989679
1.985819,1.989380
1.985259,1.989610
1.987839,1.989429
1.985888,1.989418
1.984397,1.989793
1.986213,1.989519
1.983663,1.989427
1.984534,1.989303
1.985246,1.989332
1.983977,1.989540
1.984243,1.989433
1.984779,1.989518
1.986213,1.989331
1.985248,1.989332
1.985855,1.989428
1.985784,1.989343
1.985702,1.989366
1.984578,1.989533
1.986439,1.989352
1.985951,1.989441
1.985013,1.989561
1.984794,1.989402
1.985884,1.989442
1.985635,1.989409
1.983915,1.989419
1.985244,1.989467
1.984544,1.989391
1.985888,1.989396
1.986164,1.989359
1.985735,1.989412
1.985409,1.989399
1.986223,1.989406
1.984849,1.989375
1.985804,1.989392
1.984855,1.989362
1.986002,1.989375
1.984816,1.989398
1.984874,1.989385
1.986969,1.989380
1.985445,1.989380
1.986043,1.989382
