timestamp,experiment_name,dataset,seq_len,pred_len,pretrain_epochs,finetune_epochs,mask_ratio,pretrain_patch_len,pretrain_stride,finetune_patch_len,finetune_stride,gpu_name,gpu_memory,pretrain_time_min,finetune_time_min,total_time_min,mse,mae,notes
2026-03-31T10:39:58.665932,Self_Supervised_ETTh1_336_96,ETTh1,336,96,100,20,0.4,12,12,16,8,NVIDIA A100-SXM4-40GB,40960 MiB,34.80631413,3.712344146,38.51949559,0.3737459,0.3963188,"Self-supervised with masked autoencoder, fine-tuned on forecasting. Check terminal output for MSE/MAE."
2026-04-14T16:33:26.783059,Self_Supervised_ETTh1_336_192,ETTh1,336,192,100,20,0.4,12,12,16,8,NVIDIA A100-SXM4-40GB,40960 MiB,40.88786265055339,3.1609599431355795,44.051224613189696,0.4093089,0.4166858,"Self-supervised with masked autoencoder, fine-tuned on forecasting. Check terminal output for MSE/MAE."
2026-04-14T17:20:55.545848,Self_Supervised_ETTh1_336_336,ETTh1,336,336,100,20,0.4,12,12,16,8,NVIDIA A100-SXM4-40GB,40960 MiB,40.7016982793808,3.0377031445503233,43.739746812979384,0.43147737,0.43226624,"Self-supervised with masked autoencoder, fine-tuned on forecasting. Check terminal output for MSE/MAE."
2026-04-14T18:19:47.106622,Self_Supervised_ETTh1_336_720,ETTh1,336,720,100,20,0.4,12,12,16,8,NVIDIA A100-SXM4-40GB,40960 MiB,40.76106367905935,2.953674105803172,43.71530913909276,0.45477027,0.4709474,"Self-supervised with masked autoencoder, fine-tuned on forecasting. Check terminal output for MSE/MAE."
