Experiment,MSE,MSE_std,MAE,Num_Runs
Baseline (d_model=128),0.3673142669118245,0.001152745007959293,0.39386065324654895,6
Paper Hyperparams (d_model=16),0.3812447905540466,0.0027107755838110432,0.40565491318702696,5
