train_loss,valid_loss
0.452287,1.219103
0.448215,1.233693
0.444148,1.254291
0.439028,1.289382
0.432632,1.352609
0.427250,1.368902
0.423488,1.354844
0.420266,1.315192
0.416231,1.353055
0.413638,1.342121
0.410501,1.378640
0.408367,1.417552
0.406534,1.396046
0.404172,1.403336
0.402781,1.407441
0.400767,1.395972
0.400723,1.389854
0.399643,1.399102
0.399659,1.402515
0.399308,1.401185
